Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,
Comercio exterior,,,,,,,,,,,,,,,,,,,,,
Exportaciones FOB,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Millones de US dólares,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,El Salvador,,,Guatemala,,,Honduras,,,Nicaragua,,,República Dominicana,,,Panamá,,
,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales
2010-Enero,521.3,207.64,313.66,329.95,66.79,263.16,671.2,220,451.2,217.17,--,217.17,231.2,106.42,124.78,392.8,210.2,182.6,657.42,598.28,59.15
2010-Febrero,575.32,233.44,341.88,367.56,69.13,298.43,622.2,214.8,407.4,256.12,--,256.12,240.62,98.72,141.9,538.3,301.9,236.4,779.94,712.71,67.23
2010-Marzo,723.04,263.07,459.97,392.37,82.12,310.25,862.5,273.1,589.4,278.08,--,278.08,348.79,136.38,212.4,620.9,351.4,269.5,1196.24,1107.43,88.81
2010-Abril,619.63,217.75,401.88,352.62,77.35,275.27,706.3,221.8,484.5,237.56,--,237.56,260.92,119.87,141.05,583.3,329,254.3,944.86,865.34,79.52
2010-Mayo,669.22,239.29,429.93,370.43,79.89,290.54,747.9,240.5,507.4,272.49,--,272.49,272.29,115.63,156.66,582.5,340.3,242.2,992.26,920.12,72.14
2010-Junio,615.46,254.53,360.92,387.99,96.82,291.17,748.2,259.8,488.4,265.94,--,265.94,331.54,140.65,190.89,610.6,368.4,242.2,967.39,902.34,65.05
2010-Julio,613.22,277.54,335.68,422.98,103.38,319.6,685.5,239.7,445.8,208.8,--,208.8,296.87,153.86,143,586.5,357.8,228.7,833.53,760.8,72.72
2010-Agosto,574.35,240.24,334.12,381.07,102.93,278.14,625.9,241.1,384.8,214.08,--,214.08,293.78,149.42,144.36,594.8,369.5,225.3,986.37,910.51,75.87
2010-Setiembre,575.17,264.52,310.65,366.07,85.37,280.7,607.9,240.8,367.1,196.52,--,196.52,293.57,164.11,129.46,564.3,377.3,187,1193.58,1129.88,63.7
2010-Octubre,619.03,288.3,330.73,389.26,95.99,293.27,652,261.4,390.6,176.68,--,176.68,273.63,142.56,131.06,602.9,392.9,210,1480.64,1414.7,65.95
2010-Noviembre,612.18,262.97,349.22,360.04,91.62,268.42,642.7,264.8,377.9,206.39,--,206.39,292.9,156.31,136.59,592.3,371.7,220.6,1253.57,1192.87,60.7
2010-Diciembre,597.51,253.6,343.91,378.9,77.27,301.63,893.3,310.9,582.4,288.99,--,288.99,299.25,129.33,169.92,545.5,333,212.5,930.04,873.68,56.36
2011-Enero,563.72,223.43,340.29,408.65,82.6,326.05,765.2,249.2,516,344.77,--,344.77,312.64,134.75,177.89,495.5,264.6,230.9,865.62,802.45,63.17
2011-Febrero,651.31,260.49,390.82,453.98,83.5,370.48,901.1,276.2,624.9,404.09,--,404.09,335.53,145.52,190.01,605.9,373.4,232.5,1311.18,1246.43,64.75
