Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,0,World,8,Flow,1,Inward,204887.703,,38.762,,100,,0.89246,,3.59911,
1990,1990,0,World,8,Flow,2,Outward,243874.746,,54.542,,100,,1.11944,,4.51438,
1990,1990,0,World,9,Stock,1,Inward,2196202.948,,414.684,,100,,9.56533,,38.57576,
1990,1990,0,World,9,Stock,2,Outward,2254903.328,,497.568,,100,,10.30853,,41.67448,
1990,1990,4,Afghanistan,8,Flow,1,Inward,0,,0,,0,,0,,0,
1990,1990,4,Afghanistan,9,Stock,1,Inward,11.78,,1.101,,0.000536,,0.33094,,2.47891,
1990,1990,12,Algeria,8,Flow,1,Inward,40,,1.568,,0.019523,,0.06478,,0.25254,
1990,1990,12,Algeria,8,Flow,2,Outward,4.689,,0.184,,0.001923,,0.00759,,0.0296,
1990,1990,12,Algeria,9,Stock,1,Inward,1560.57,,61.155,,0.071058,,2.52718,,9.8528,
1990,1990,12,Algeria,9,Stock,2,Outward,183.039,,7.173,,0.008117,,0.29641,,1.15563,
1990,1990,24,Angola,8,Flow,1,Inward,-334.5,,-28.279,,-0.16326,,-2.44842,,-22.07652,
1990,1990,24,Angola,8,Flow,2,Outward,0.9,,0.076,,0.000369,,0.00659,,0.0594,
1990,1990,24,Angola,9,Stock,1,Inward,1024.65,,86.625,,0.046656,,7.50008,,67.62542,
1990,1990,24,Angola,9,Stock,2,Outward,0.9,,0.076,,4.00E-05,,0.00659,,0.0594,
1990,1990,28,Antigua and Barbuda,8,Flow,1,Inward,58.75,,927.71,,0.028674,,12.78646,,48.12944,
1990,1990,32,Argentina,8,Flow,1,Inward,1836,,56.254,,0.896101,,1.19855,,10.32607,
1990,1990,32,Argentina,8,Flow,2,Outward,34.903,,1.069,,0.014312,,0.02278,,0.1963,
1990,1990,32,Argentina,9,Stock,1,Inward,9084.648,,278.349,,0.413652,,5.93048,,51.09407,
1990,1990,32,Argentina,9,Stock,2,Outward,6057.272,,185.592,,0.268627,,3.9542,,34.06744,
1990,1990,36,Australia,8,Flow,1,Inward,7904.392,,463.655,,3.857914,,2.438,,9.92363,
1990,1990,36,Australia,8,Flow,2,Outward,194.37,,11.401,,0.079701,,0.05995,,0.24402,
1990,1990,36,Australia,9,Stock,1,Inward,80364.379,,4714.005,,3.659242,,24.78724,,100.89409,
1990,1990,36,Australia,9,Stock,2,Outward,37505.026,,2199.966,,1.663265,,11.56789,,47.08598,
1990,1990,40,Austria,8,Flow,1,Inward,653,,85.04,,0.318711,,0.39227,,1.53218,
1990,1990,40,Austria,8,Flow,2,Outward,1701,,221.521,,0.697489,,1.02182,,3.99116,
1990,1990,40,Austria,9,Stock,1,Inward,11606.088,,1511.46,,0.528462,,6.97197,,27.23211,
1990,1990,40,Austria,9,Stock,2,Outward,5021.383,,653.934,,0.222687,,3.01643,,11.78199,
1990,1990,44,Bahamas,8,Flow,1,Inward,-17.3,,-63.913,,-0.008444,,-0.36287,,-1.75135,
1990,1990,44,Bahamas,8,Flow,2,Outward,0.115,,0.426,,4.70E-05,,0.00242,,0.01167,
1990,1990,44,Bahamas,9,Stock,1,Inward,585.78,,2164.113,,0.026672,,12.28684,,59.30105,
1990,1990,48,Bahrain,8,Flow,1,Inward,-182.9,,-353.486,,-0.089268,,-3.72571,,-16.05552,
1990,1990,48,Bahrain,8,Flow,2,Outward,25,,48.317,,0.010251,,0.50926,,2.19458,
1990,1990,48,Bahrain,9,Stock,1,Inward,551.601,,1066.065,,0.025116,,11.23623,,48.42121,
1990,1990,48,Bahrain,9,Stock,2,Outward,719.422,,1390.408,,0.031905,,14.65478,,63.15305,
1990,1990,50,Bangladesh,8,Flow,1,Inward,3.239,,0.03,,0.001581,,0.01151,,0.05688,
1990,1990,50,Bangladesh,8,Flow,2,Outward,0.5,,0.005,,0.000205,,0.00178,,0.00878,
1990,1990,50,Bangladesh,9,Stock,1,Inward,477.48,,4.456,,0.021741,,1.69701,,8.38501,
1990,1990,50,Bangladesh,9,Stock,2,Outward,45.032,,0.42,,0.001997,,0.16005,,0.7908,
1990,1990,52,Barbados,8,Flow,1,Inward,11.213,,43.317,,0.005473,,0.54574,,3.69262,
1990,1990,52,Barbados,8,Flow,2,Outward,1.35,,5.215,,0.000554,,0.0657,,0.44457,
1990,1990,52,Barbados,9,Stock,1,Inward,171.33,,661.843,,0.007801,,8.33844,,56.42035,
1990,1990,52,Barbados,9,Stock,2,Outward,23.383,,90.328,,0.001037,,1.13802,,7.70021,
1990,1990,56,Belgium,8,Flow,1,Inward,8046.73,,807.94,,3.927386,,3.91893,,16.3326,
1990,1990,56,Belgium,8,Flow,2,Outward,6314.44,,634.008,,2.589214,,3.07527,,12.81654,
1990,1990,56,Belgium,9,Stock,1,Inward,58387.8,,5862.488,,2.658579,,28.43613,,118.51079,
1990,1990,56,Belgium,9,Stock,2,Outward,40635.8,,4080.08,,1.802108,,19.79052,,82.47923,
1990,1990,64,Bhutan,8,Flow,1,Inward,1.6,,2.865,,0.000781,,0.5848,,1.83798,
1990,1990,64,Bhutan,9,Stock,1,Inward,2.02,,3.617,,9.20E-05,,0.7383,,2.32044,
1990,1990,68,Bolivia (Plurinational State of),8,Flow,1,Inward,67,,9.442,,0.032701,,1.37645,,10.96034,
1990,1990,68,Bolivia (Plurinational State of),8,Flow,2,Outward,1.1,,0.155,,0.000451,,0.0226,,0.17995,
1990,1990,68,Bolivia (Plurinational State of),9,Stock,1,Inward,1025.7,,144.542,,0.046703,,21.07206,,167.79134,
